index,channel_name,category,description,keywords,language,difficulty_level,subscribers,avg_views,content_type,content
34,mortal,gaming,esports and gaming streams,esports gaming pubg,hindi,Intermediate,7000000.0,800000.0,gaming,gaming esports and gaming streams esports gaming pubg hindi gaming
35,scout,gaming,competitive gaming content,gaming live esports,hindi,Intermediate,4500000.0,500000.0,gaming,gaming competitive gaming content gaming live esports hindi gaming
36,mythpat,gaming,comedy gaming videos,funny gaming content,hindi,Beginner,14000000.0,1200000.0,gaming,gaming comedy gaming videos funny gaming content hindi gaming
37,total gaming,gaming,free fire gameplay videos,free fire gameplay,hindi,Beginner,38000000.0,3000000.0,gaming,gaming free fire gameplay videos free fire gameplay hindi gaming
39,kabita's kitchen,cooking,home style indian recipes,indian home cooking,hindi,Beginner,14000000.0,1000000.0,cooking,cooking home style indian recipes indian home cooking hindi cooking
40,cookingshooking,cooking,baking and cooking tutorials,baking recipes cooking,english,Beginner,6000000.0,500000.0,cooking,cooking baking and cooking tutorials baking recipes cooking english cooking
41,nisha madhulika,cooking,vegetarian indian recipes,veg recipes indian,hindi,Beginner,13000000.0,900000.0,cooking,cooking vegetarian indian recipes veg recipes indian hindi cooking
42,sanjyot keer,cooking,modern and fusion recipes,fusion cooking recipes,english,Intermediate,2500000.0,200000.0,cooking,cooking modern and fusion recipes fusion cooking recipes english cooking
43,kunal kapoor,cooking,professional chef recipes,chef recipes indian,english,Intermediate,2000000.0,180000.0,cooking,cooking professional chef recipes chef recipes indian english cooking
44,spice eats,cooking,quick indian recipes,quick recipes indian,english,Beginner,3000000.0,250000.0,cooking,cooking quick indian recipes quick recipes indian english cooking
45,5-minute crafts,diy,diy hacks and crafts,diy hacks,english,Beginner,80000000.0,5000000.0,diy,diy diy hacks and crafts diy hacks english diy
46,the dodo,pets,animal rescue stories,pets animals,english,Beginner,12000000.0,900000.0,entertainment,pets animal rescue stories pets animals english entertainment
48,mango street,photography,photography tutorials,photography camera,english,Beginner,1000000.0,80000.0,tutorials,photography photography tutorials photography camera english tutorials
49,aaj tak,news,indian news updates,india news,hindi,Beginner,20000000.0,1500000.0,news,news indian news updates india news hindi news
50,draw with jazza,art,creative art content,creative drawing,english,Beginner,5000000.0,400000.0,tutorials,art creative art content creative drawing english tutorials
51,ca rachana ranade,business,stock market education,finance stocks,hindi,Intermediate,4000000.0,300000.0,education,business stock market education finance stocks hindi education
52,national geographic,science,nature and science documentaries,science nature,english,Intermediate,25000000.0,2000000.0,documentary,science nature and science documentaries science nature english documentary
53,diy perks,diy,creative diy electronics,diy electronics,english,Intermediate,9000000.0,700000.0,diy,diy creative diy electronics diy electronics english diy
54,mostlysane,lifestyle,lifestyle and comedy videos,lifestyle fun,hindi,Beginner,6000000.0,400000.0,vlogs,lifestyle lifestyle and comedy videos lifestyle fun hindi vlogs
55,pewdiepie,gaming,gaming and fun commentary,gaming fun,english,Beginner,110000000.0,5000000.0,gaming,gaming gaming and fun commentary gaming fun english gaming
56,arijit singh,music,bollywood music channel,bollywood songs,hindi,Beginner,20000000.0,1500000.0,music,music bollywood music channel bollywood songs hindi music
57,animal planet,pets,animal documentaries,animal videos,english,Beginner,10000000.0,800000.0,entertainment,pets animal documentaries animal videos english entertainment
58,techradar,technology,tech reviews and updates,tech news,english,Intermediate,1800000.0,150000.0,reviews,technology tech reviews and updates tech news english reviews
59,neso academy,education,engineering tutorials,engineering study,english,Intermediate,2000000.0,160000.0,tutorials,education engineering tutorials engineering study english tutorials
60,gordon ramsay,cooking,professional cooking recipes,chef cooking,english,Advanced,20000000.0,1500000.0,cooking,cooking professional cooking recipes chef cooking english cooking
61,chris heria,fitness,calisthenics workouts,fitness workout,english,Intermediate,5000000.0,400000.0,fitness,fitness calisthenics workouts fitness workout english fitness
62,travel beans,travel,travel vlogs and experiences,travel vlog,english,Beginner,1500000.0,120000.0,travel,travel travel vlogs and experiences travel vlog english travel
64,jeff nippard,fitness,science based workouts,fitness science,english,Advanced,4000000.0,300000.0,fitness,fitness science based workouts fitness science english fitness
65,sorted food,cooking,fun cooking challenges,cooking challenge,english,Beginner,2500000.0,200000.0,cooking,cooking fun cooking challenges cooking challenge english cooking
66,wolters world,travel,travel tips and guides,travel tips,english,Beginner,1200000.0,100000.0,travel,travel travel tips and guides travel tips english travel
67,apna college,education,coding tutorials for beginners,coding java dsa,english/hindi,Beginner,,,tutorials,education coding tutorials for beginners coding java dsa english/hindi tutorials
68,codewithharry,education,programming tutorials in hindi,python java coding,hindi,Beginner,,,tutorials,education programming tutorials in hindi python java coding hindi tutorials
69,freecodecamp,education,free coding tutorials and projects,coding development,english,Beginner,,,tutorials,education free coding tutorials and projects coding development english tutorials
70,khan academy,education,educational videos on math and science,math science,english,Beginner,,,tutorials,education educational videos on math and science math science english tutorials
71,unacademy,education,competitive exam preparation,exam study,english/hindi,Intermediate,,,tutorials,education competitive exam preparation exam study english/hindi tutorials
72,physics wallah,education,affordable education lectures,physics chemistry math,hindi,Beginner,,,tutorials,education affordable education lectures physics chemistry math hindi tutorials
73,simplilearn,education,professional skill courses,online courses,english,Advanced,,,tutorials,education professional skill courses online courses english tutorials
74,codebasics,education,data science tutorials,python data science,english/hindi,Intermediate,,,tutorials,education data science tutorials python data science english/hindi tutorials
75,edureka,education,programming and tech training,programming courses,english,Intermediate,,,tutorials,education programming and tech training programming courses english tutorials
76,great learning,education,career learning content,career learning,english,Intermediate,,,tutorials,education career learning content career learning english tutorials
77,technical guruji,technology,tech reviews and gadgets,mobile tech,hindi,Beginner,,,reviews,technology tech reviews and gadgets mobile tech hindi reviews
79,marques brownlee,technology,premium tech reviews,tech premium,english,Advanced,,,reviews,technology premium tech reviews tech premium english reviews
81,linus tech tips,technology,pc builds and tech,hardware pc,english,Advanced,,,reviews,technology pc builds and tech hardware pc english reviews
82,unbox therapy,technology,gadget unboxing videos,unboxing tech,english,Beginner,,,reviews,technology gadget unboxing videos unboxing tech english reviews
83,mrwhosetheboss,technology,smartphone reviews,smartphone review,hindi/english,Intermediate,,,reviews,technology smartphone reviews smartphone review hindi/english reviews
84,techlinked,technology,tech news updates,tech news,english,Intermediate,,,news,technology tech news updates tech news english news
86,c4etech,technology,mobile reviews and tips,mobile tips,hindi/english,Intermediate,,,reviews,technology mobile reviews and tips mobile tips hindi/english reviews
87,bb ki vines,entertainment,comedy sketches,comedy fun,hindi,Beginner,,,entertainment,entertainment comedy sketches comedy fun hindi entertainment
90,mrbeast,entertainment,challenges and giveaways,viral challenges,english,Beginner,,,entertainment,entertainment challenges and giveaways viral challenges english entertainment
91,the viral fever,entertainment,web series content,web series,hindi,Intermediate,,,entertainment,entertainment web series content web series hindi entertainment
92,fit tuber,health,health and lifestyle tips,health diet,hindi,Beginner,,,health,health health and lifestyle tips health diet hindi health
93,beerbiceps,health,fitness motivation,fitness lifestyle,english/hindi,Intermediate,,,health,health fitness motivation fitness lifestyle english/hindi health
94,doctor mike,health,medical education,health medical,english,Intermediate,,,health,health medical education health medical english health
95,yoga with adriene,fitness,yoga sessions,yoga fitness,english,Beginner,,,fitness,fitness yoga sessions yoga fitness english fitness
96,chloe ting,fitness,home workouts,workout abs,english,Beginner,,,fitness,fitness home workouts workout abs english fitness
97,cooking shooking,cooking,easy indian recipes,cooking food,hindi,Beginner,,,cooking,cooking easy indian recipes cooking food hindi cooking
98,your food lab,cooking,creative recipes,food cooking,hindi,Intermediate,,,cooking,cooking creative recipes food cooking hindi cooking
99,hebbars kitchen,cooking,vegetarian recipes,veg cooking,hindi/english,Beginner,,,cooking,cooking vegetarian recipes veg cooking hindi/english cooking
100,tasty,cooking,quick recipes,quick food,english,Beginner,,,cooking,cooking quick recipes quick food english cooking
101,kabita kitchen,cooking,home recipes,home cooking,hindi,Beginner,,,cooking,cooking home recipes home cooking hindi cooking
102,mumbiker nikhil,travel,travel vlogs,travel vlog,hindi,Beginner,,,travel,travel travel vlogs travel vlog hindi travel
103,mountain trekker,travel,travel guides,travel guide,hindi,Intermediate,,,travel,travel travel guides travel guide hindi travel
104,nomadic indian,travel,travel exploration,travel adventure,hindi,Beginner,,,travel,travel travel exploration travel adventure hindi travel
105,mark wiens,travel,food travel vlogs,food travel,english,Beginner,,,travel,travel food travel vlogs food travel english travel
106,travel with shenaz,travel,travel tips,travel tips,english,Beginner,,,travel,travel travel tips travel tips english travel
107,traversy media,education,web development tutorials,html css javascript,english,Intermediate,2000000.0,150000.0,tutorials,education web development tutorials html css javascript english tutorials
108,the net ninja,education,programming tutorials and guides,coding web dev,english,Beginner,1500000.0,120000.0,tutorials,education programming tutorials and guides coding web dev english tutorials
109,programming with mosh,education,software development tutorials,programming java python,english,Beginner,3000000.0,250000.0,tutorials,education software development tutorials programming java python english tutorials
110,corey schafer,education,python programming tutorials,python coding,english,Intermediate,1200000.0,100000.0,tutorials,education python programming tutorials python coding english tutorials
111,tech with tim,education,python and ai tutorials,python ai coding,english,Intermediate,1100000.0,90000.0,tutorials,education python and ai tutorials python ai coding english tutorials
112,krish naik,education,data science and ml tutorials,data science ml,english/hindi,Advanced,800000.0,70000.0,tutorials,education data science and ml tutorials data science ml english/hindi tutorials
113,academind,education,web development courses,web development,english,Intermediate,1000000.0,80000.0,tutorials,education web development courses web development english tutorials
114,cs dojo,education,programming basics and concepts,coding basics,english,Beginner,1800000.0,140000.0,tutorials,education programming basics and concepts coding basics english tutorials
115,simplified coding,education,android and coding tutorials,android coding,english,Beginner,900000.0,75000.0,tutorials,education android and coding tutorials android coding english tutorials
117,dave2d,technology,laptop and gadget reviews,laptop tech review,english,Intermediate,3500000.0,300000.0,reviews,technology laptop and gadget reviews laptop tech review english reviews
118,austin evans,technology,tech gadgets and reviews,gadgets tech,english,Beginner,5000000.0,400000.0,reviews,technology tech gadgets and reviews gadgets tech english reviews
119,ijustine,technology,tech lifestyle and reviews,tech lifestyle,english,Beginner,7000000.0,500000.0,reviews,technology tech lifestyle and reviews tech lifestyle english reviews
120,jonathan morrison,technology,tech content and reviews,tech videos,english,Intermediate,2500000.0,200000.0,reviews,technology tech content and reviews tech videos english reviews
121,techquickie,technology,short tech explanations,quick tech,english,Beginner,4000000.0,300000.0,tutorials,technology short tech explanations quick tech english tutorials
122,hardware canucks,technology,pc hardware reviews,pc hardware,english,Advanced,2000000.0,150000.0,reviews,technology pc hardware reviews pc hardware english reviews
123,randomgaminginhd,technology,budget gaming and tech,budget gaming,english,Beginner,1000000.0,80000.0,reviews,technology budget gaming and tech budget gaming english reviews
124,digital trends,technology,tech news and reviews,tech news,english,Intermediate,1200000.0,100000.0,news,technology tech news and reviews tech news english news
125,android authority,technology,android and mobile tech,android mobile,english,Intermediate,3000000.0,250000.0,reviews,technology android and mobile tech android mobile english reviews
128,ksi,entertainment,music and entertainment videos,music entertainment,english,Beginner,25000000.0,1500000.0,entertainment,entertainment music and entertainment videos music entertainment english entertainment
129,logan paul,entertainment,vlogs and entertainment,vlog entertainment,english,Beginner,23000000.0,1400000.0,entertainment,entertainment vlogs and entertainment vlog entertainment english entertainment
130,lilly singh,entertainment,comedy and motivational content,comedy motivation,english,Beginner,14000000.0,800000.0,entertainment,entertainment comedy and motivational content comedy motivation english entertainment
131,dude perfect,entertainment,sports and trick shots,sports fun,english,Beginner,60000000.0,4000000.0,entertainment,entertainment sports and trick shots sports fun english entertainment
132,filtercopy,entertainment,short relatable videos,short comedy,hindi,Beginner,7000000.0,500000.0,entertainment,entertainment short relatable videos short comedy hindi entertainment
133,team naach,entertainment,dance performances,dance videos,hindi,Beginner,5000000.0,400000.0,entertainment,entertainment dance performances dance videos hindi entertainment
136,harsh beniwal,entertainment,comedy skits,comedy skits,hindi,Beginner,15000000.0,1000000.0,entertainment,entertainment comedy skits comedy skits hindi entertainment
138,pamela reif,fitness,home workout routines,workout fitness,english,Beginner,10000000.0,700000.0,fitness,fitness home workout routines workout fitness english fitness
140,scotthermanfitness,fitness,gym workout routines,gym workout,english,Beginner,3000000.0,200000.0,fitness,fitness gym workout routines gym workout english fitness
141,hasfit,fitness,home fitness training,home workout,english,Beginner,2000000.0,150000.0,fitness,fitness home fitness training home workout english fitness
142,yoga with kassandra,fitness,yoga sessions and guides,yoga practice,english,Beginner,2500000.0,200000.0,fitness,fitness yoga sessions and guides yoga practice english fitness
143,blogilates,fitness,pilates workouts,pilates workout,english,Beginner,5000000.0,350000.0,fitness,fitness pilates workouts pilates workout english fitness
144,fitnessblender,fitness,workout and health videos,fitness health,english,Beginner,7000000.0,500000.0,fitness,fitness workout and health videos fitness health english fitness
145,athleanxx for women,fitness,women fitness training,women fitness,english,Intermediate,1000000.0,80000.0,fitness,fitness women fitness training women fitness english fitness
146,popsugar fitness,fitness,fun workout sessions,workout fun,english,Beginner,6000000.0,450000.0,fitness,fitness fun workout sessions workout fun english fitness
147,binging with babish,cooking,cooking tutorials inspired by movies,cooking tutorials,english,Intermediate,10000000.0,700000.0,cooking,cooking cooking tutorials inspired by movies cooking tutorials english cooking
149,jamie oliver,cooking,healthy recipes and cooking,healthy cooking,english,Intermediate,8000000.0,600000.0,cooking,cooking healthy recipes and cooking healthy cooking english cooking
150,preppy kitchen,cooking,baking and dessert tutorials,baking desserts,english,Beginner,6000000.0,500000.0,cooking,cooking baking and dessert tutorials baking desserts english cooking
151,cooking tree,cooking,dessert recipes and tutorials,dessert recipes,english,Beginner,4000000.0,300000.0,cooking,cooking dessert recipes and tutorials dessert recipes english cooking
152,get curried,cooking,indian recipes and cooking tips,indian cooking,english/hindi,Beginner,5000000.0,400000.0,cooking,cooking indian recipes and cooking tips indian cooking english/hindi cooking
153,food wishes,cooking,chef recipes and tutorials,chef recipes,english,Intermediate,4500000.0,350000.0,cooking,cooking chef recipes and tutorials chef recipes english cooking
154,laura in the kitchen,cooking,italian recipes and tutorials,italian cooking,english,Beginner,3800000.0,300000.0,cooking,cooking italian recipes and tutorials italian cooking english cooking
156,sam the cooking guy,cooking,casual cooking videos,cooking fun,english,Beginner,3000000.0,250000.0,cooking,cooking casual cooking videos cooking fun english cooking
157,graham stephan,business,real estate and finance tips,real estate finance,english,Intermediate,4500000.0,300000.0,education,business real estate and finance tips real estate finance english education
158,sam kolder,photography,travel filmmaking and editing,filmmaking editing,english,Intermediate,2000000.0,150000.0,tutorials,photography travel filmmaking and editing filmmaking editing english tutorials
159,sidemen,entertainment,group entertainment and challenges,fun challenge group,english,Beginner,20000000.0,1500000.0,entertainment,entertainment group entertainment and challenges fun challenge group english entertainment
160,pick up limes,health,healthy recipes and lifestyle,healthy food lifestyle,english,Beginner,3500000.0,250000.0,health,health healthy recipes and lifestyle healthy food lifestyle english health
161,dw news,news,international news coverage,world news,english,Beginner,3000000.0,250000.0,news,news international news coverage world news english news
163,rick beato,music,music theory and production,music theory,english,Advanced,3000000.0,200000.0,music,music music theory and production music theory english music
164,kara and nate,travel,travel vlogs and adventures,travel adventure,english,Beginner,3500000.0,250000.0,travel,travel travel vlogs and adventures travel adventure english travel
165,coldfusion,technology,technology history and insights,tech documentary,english,Intermediate,4000000.0,300000.0,education,technology technology history and insights tech documentary english education
166,komal pandey,lifestyle,fashion and styling videos,fashion styling,hindi,Beginner,1500000.0,120000.0,vlogs,lifestyle fashion and styling videos fashion styling hindi vlogs
167,real engineering,science,engineering concepts explained,engineering science,english,Intermediate,3500000.0,250000.0,education,science engineering concepts explained engineering science english education
168,andrew huang,music,music production and creativity,music production,english,Intermediate,2500000.0,180000.0,music,music music production and creativity music production english music
170,sejal kumar,lifestyle,fashion and lifestyle vlogs,fashion lifestyle vlog,hindi/english,Beginner,1200000.0,100000.0,vlogs,lifestyle fashion and lifestyle vlogs fashion lifestyle vlog hindi/english vlogs
173,insider news,news,trending news and stories,news trending,english,Beginner,4000000.0,300000.0,news,news trending news and stories news trending english news
174,the urban fight,fitness,home workout and training,fitness home workout,hindi,Beginner,2000000.0,150000.0,fitness,fitness home workout and training fitness home workout hindi fitness
175,yes theory,lifestyle,travel and challenge videos,travel challenge,english,Beginner,8500000.0,600000.0,vlogs,lifestyle travel and challenge videos travel challenge english vlogs
176,motivationhub,education,motivational speeches,motivation speeches,english,Beginner,2500000.0,200000.0,education,education motivational speeches motivation speeches english education
177,al jazeera english,news,global news analysis,news global,english,Beginner,6000000.0,500000.0,news,news global news analysis news global english news
179,best ever food review show,travel,food and travel exploration,food travel,english,Beginner,10000000.0,800000.0,travel,travel food and travel exploration food travel english travel
180,johnny harris,news,explainer journalism videos,news explanation,english,Intermediate,2500000.0,200000.0,news,news explainer journalism videos news explanation english news
181,veritasium,science,science experiments and explanation,science experiments,english,Advanced,14000000.0,1200000.0,education,science science experiments and explanation science experiments english education
182,downshiftology,health,wellness and healthy recipes,wellness food,english,Beginner,2500000.0,200000.0,health,health wellness and healthy recipes wellness food english health
184,lavendaire,lifestyle,personal growth content,self growth lifestyle,english,Beginner,1500000.0,120000.0,vlogs,lifestyle personal growth content self growth lifestyle english vlogs
185,physics girl,science,physics concepts explained,physics science,english,Intermediate,3000000.0,250000.0,education,science physics concepts explained physics science english education
186,pranjal kamra,business,stock market education,stock market,hindi,Intermediate,1500000.0,120000.0,education,business stock market education stock market hindi education
188,nas daily,lifestyle,daily storytelling videos,storytelling daily life,english,Beginner,20000000.0,1200000.0,vlogs,lifestyle daily storytelling videos storytelling daily life english vlogs
191,vox,news,explainer videos on world topics,news explanation world,english,Intermediate,12000000.0,900000.0,news,news explainer videos on world topics news explanation world english news
195,the try guys,entertainment,fun challenge and lifestyle videos,challenge fun lifestyle,english,Beginner,8000000.0,600000.0,entertainment,entertainment fun challenge and lifestyle videos challenge fun lifestyle english entertainment
196,simone giertz,science,creative engineering projects,engineering robotics,english,Intermediate,2500000.0,200000.0,education,science creative engineering projects engineering robotics english education
198,nikkietutorials,lifestyle,makeup and beauty tutorials,makeup beauty,english,Beginner,14000000.0,1000000.0,tutorials,lifestyle makeup and beauty tutorials makeup beauty english tutorials
200,india today,news,indian news and analysis,india news politics,english,Beginner,6000000.0,500000.0,news,news indian news and analysis india news politics english news
212,traveling desi,travel,travel guides and tips,travel tips guides,hindi,Beginner,1200000.0,100000.0,travel,travel travel guides and tips travel tips guides hindi travel
213,nomadic matt,travel,budget travel advice,travel budget tips,english,Beginner,800000.0,70000.0,travel,travel budget travel advice travel budget tips english travel
214,expedia,travel,travel guides and destinations,travel destinations,english,Beginner,1000000.0,80000.0,travel,travel travel guides and destinations travel destinations english travel
215,the school of life,education,psychology and life lessons,psychology life lessons,english,Intermediate,9000000.0,700000.0,education,education psychology and life lessons psychology life lessons english education
216,crashcourse,education,educational videos on various topics,education science history,english,Beginner,15000000.0,1200000.0,education,education educational videos on various topics education science history english education
217,minutephysics,science,physics concepts explained,physics concepts,english,Intermediate,5000000.0,400000.0,education,science physics concepts explained physics concepts english education
218,asapscience,science,science facts and explanations,science facts,english,Beginner,10000000.0,800000.0,education,science science facts and explanations science facts english education
219,periodic videos,science,chemistry experiments and explanations,chemistry science,english,Intermediate,2000000.0,150000.0,education,science chemistry experiments and explanations chemistry science english education
220,the king of random,science,experiments and diy science,science diy experiments,english,Beginner,12000000.0,900000.0,education,science experiments and diy science science diy experiments english education
222,joshua weissman,cooking,professional cooking techniques,cooking chef,english,Advanced,9000000.0,700000.0,cooking,cooking professional cooking techniques cooking chef english cooking
223,bon appétit,cooking,food recipes and culture,food recipes culture,english,Beginner,6000000.0,500000.0,cooking,cooking food recipes and culture food recipes culture english cooking
224,casey neistat,lifestyle,daily vlogs and storytelling,vlog storytelling,english,Beginner,12000000.0,900000.0,vlogs,lifestyle daily vlogs and storytelling vlog storytelling english vlogs
225,matt d'avella,lifestyle,minimalism and productivity,minimalism productivity,english,Beginner,4000000.0,300000.0,vlogs,lifestyle minimalism and productivity minimalism productivity english vlogs
226,nathaniel drew,lifestyle,self improvement and travel,self improvement travel,english,Beginner,3000000.0,250000.0,vlogs,lifestyle self improvement and travel self improvement travel english vlogs
228,zach king,entertainment,magic tricks and short videos,magic tricks fun,english,Beginner,35000000.0,2500000.0,entertainment,entertainment magic tricks and short videos magic tricks fun english entertainment
229,kunal shah,business,startup and business insights,startup business,hindi/english,Intermediate,800000.0,60000.0,education,business startup and business insights startup business hindi/english education
230,varun mayya,business,entrepreneurship and ai content,startup ai business,english,Intermediate,700000.0,50000.0,education,business entrepreneurship and ai content startup ai business english education
231,abhi and niyu,education,informative and awareness videos,india facts awareness,hindi,Beginner,5000000.0,400000.0,education,education informative and awareness videos india facts awareness hindi education
232,think media,technology,youtube growth and tech tips,youtube growth tech,english,Beginner,2500000.0,200000.0,education,technology youtube growth and tech tips youtube growth tech english education
233,roberto blake,technology,content creation and branding,content creation brand,english,Intermediate,600000.0,50000.0,education,technology content creation and branding content creation brand english education
234,film riot,photography,filmmaking tutorials,filmmaking video,english,Intermediate,2000000.0,150000.0,tutorials,photography filmmaking tutorials filmmaking video english tutorials
235,peter lindgren,photography,filmmaking and editing tips,video editing tips,english,Beginner,900000.0,80000.0,tutorials,photography filmmaking and editing tips video editing tips english tutorials
236,jenna marbles,entertainment,comedy and lifestyle videos,comedy fun vlog,english,Beginner,20000000.0,1500000.0,entertainment,entertainment comedy and lifestyle videos comedy fun vlog english entertainment
238,ranveer allahbadia,business,self improvement and business,self growth business,hindi/english,Beginner,6000000.0,500000.0,education,business self improvement and business self growth business hindi/english education
239,fitmuscle tv,fitness,bodybuilding and workouts,bodybuilding fitness,english,Intermediate,1200000.0,100000.0,fitness,fitness bodybuilding and workouts bodybuilding fitness english fitness
241,athlean-x,fitness,science based fitness training,fitness science training,english,Advanced,13000000.0,1000000.0,fitness,fitness science based fitness training fitness science training english fitness
242,the slow mo guys,science,slow motion science videos,slow motion science,english,Beginner,15000000.0,1200000.0,education,science slow motion science videos slow motion science english education
243,scishow,science,science news and facts,science news facts,english,Beginner,8000000.0,600000.0,education,science science news and facts science news facts english education
244,journey to the microcosmos,science,microscopic world exploration,microbiology science,english,Intermediate,1200000.0,100000.0,education,science microscopic world exploration microbiology science english education
245,cnbc,news,business and financial news,finance news business,english,Beginner,20000000.0,1500000.0,news,news business and financial news finance news business english news
246,ndtv,news,indian news coverage,india news tv,hindi/english,Beginner,10000000.0,800000.0,news,news indian news coverage india news tv hindi/english news
247,brut india,news,social and political stories,india stories news,hindi/english,Beginner,8000000.0,600000.0,news,news social and political stories india stories news hindi/english news
251,migrationology,travel,food and travel exploration,food travel vlog,english,Beginner,2500000.0,200000.0,travel,travel food and travel exploration food travel vlog english travel
